DateStart,DateEnd,Interval Days,GeoName,Keyword1_my * stolen+burglary-car-turck-bus
2012-01-01,2018-12-31,2557,Albany-Schenectady-Troy NY,48
2012-01-01,2018-12-31,2557,Albuquerque-Santa Fe NM,74
2012-01-01,2018-12-31,2557,Atlanta GA,69
2012-01-01,2018-12-31,2557,Austin TX,59
2012-01-01,2018-12-31,2557,Baltimore MD,61
2012-01-01,2018-12-31,2557,Birmingham AL,62
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,51
2012-01-01,2018-12-31,2557,Buffalo NY,49
2012-01-01,2018-12-31,2557,Champaign & Springfield-Decatur IL,52
2012-01-01,2018-12-31,2557,Charlotte NC,59
2012-01-01,2018-12-31,2557,Chicago IL,63
2012-01-01,2018-12-31,2557,Cincinnati OH,58
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,55
2012-01-01,2018-12-31,2557,Colorado Springs-Pueblo CO,73
2012-01-01,2018-12-31,2557,Columbia SC,69
2012-01-01,2018-12-31,2557,Columbus OH,61
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,69
2012-01-01,2018-12-31,2557,Dayton OH,53
2012-01-01,2018-12-31,2557,Denver CO,66
2012-01-01,2018-12-31,2557,Des Moines-Ames IA,48
2012-01-01,2018-12-31,2557,Detroit MI,60
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,91
2012-01-01,2018-12-31,2557,Grand Rapids-Kalamazoo-Battle Creek MI,58
2012-01-01,2018-12-31,2557,Greensboro-High Point-Winston Salem NC,59
2012-01-01,2018-12-31,2557,Greenville-Spartanburg SC-Asheville NC-Anderson SC,61
2012-01-01,2018-12-31,2557,Harlingen-Weslaco-Brownsville-McAllen TX,61
2012-01-01,2018-12-31,2557,Harrisburg-Lancaster-Lebanon-York PA,48
2012-01-01,2018-12-31,2557,Hartford & New Haven CT,53
2012-01-01,2018-12-31,2557,Honolulu HI,69
2012-01-01,2018-12-31,2557,Houston TX,75
2012-01-01,2018-12-31,2557,Indianapolis IN,70
2012-01-01,2018-12-31,2557,Jacksonville FL,67
2012-01-01,2018-12-31,2557,Kansas City MO,65
2012-01-01,2018-12-31,2557,Knoxville TN,64
2012-01-01,2018-12-31,2557,Las Vegas NV,100
2012-01-01,2018-12-31,2557,Lexington KY,64
2012-01-01,2018-12-31,2557,Little Rock-Pine Bluff AR,68
2012-01-01,2018-12-31,2557,Los Angeles CA,83
2012-01-01,2018-12-31,2557,Louisville KY,60
2012-01-01,2018-12-31,2557,Memphis TN,75
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,73
2012-01-01,2018-12-31,2557,Milwaukee WI,52
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,53
2012-01-01,2018-12-31,2557,Mobile AL-Pensacola (Ft. Walton Beach) FL,62
2012-01-01,2018-12-31,2557,Nashville TN,57
2012-01-01,2018-12-31,2557,New Orleans LA,72
2012-01-01,2018-12-31,2557,New York NY,58
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,61
2012-01-01,2018-12-31,2557,Oklahoma City OK,69
2012-01-01,2018-12-31,2557,Omaha NE,52
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,70
2012-01-01,2018-12-31,2557,Philadelphia PA,59
2012-01-01,2018-12-31,2557,Phoenix AZ,77
2012-01-01,2018-12-31,2557,Pittsburgh PA,46
2012-01-01,2018-12-31,2557,Portland OR,55
2012-01-01,2018-12-31,2557,Providence RI-New Bedford MA,65
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,54
2012-01-01,2018-12-31,2557,Richmond-Petersburg VA,53
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,88
2012-01-01,2018-12-31,2557,Salt Lake City UT,63
2012-01-01,2018-12-31,2557,San Antonio TX,81
2012-01-01,2018-12-31,2557,San Diego CA,77
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,73
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,76
2012-01-01,2018-12-31,2557,Spokane WA,65
2012-01-01,2018-12-31,2557,Springfield MO,66
2012-01-01,2018-12-31,2557,St. Louis MO,64
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,66
2012-01-01,2018-12-31,2557,Tucson (Sierra Vista) AZ,70
2012-01-01,2018-12-31,2557,Tulsa OK,66
2012-01-01,2018-12-31,2557,Waco-Temple-Bryan TX,68
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),51
2012-01-01,2018-12-31,2557,West Palm Beach-Ft. Pierce FL,60
2012-01-01,2018-12-31,2557,Wichita-Hutchinson KS,68
