DateStart,DateEnd,Interval Days,GeoName,Keyword1_my * stolen+burglary-car-turck-bus
2012-01-01,2018-12-31,2557,Albany-Schenectady-Troy NY,54
2012-01-01,2018-12-31,2557,Albuquerque-Santa Fe NM,90
2012-01-01,2018-12-31,2557,Atlanta GA,71
2012-01-01,2018-12-31,2557,Austin TX,66
2012-01-01,2018-12-31,2557,Baltimore MD,62
2012-01-01,2018-12-31,2557,Birmingham AL,63
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,53
2012-01-01,2018-12-31,2557,Buffalo NY,54
2012-01-01,2018-12-31,2557,Champaign & Springfield-Decatur IL,54
2012-01-01,2018-12-31,2557,Charlotte NC,62
2012-01-01,2018-12-31,2557,Chicago IL,66
2012-01-01,2018-12-31,2557,Cincinnati OH,62
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,57
2012-01-01,2018-12-31,2557,Colorado Springs-Pueblo CO,77
2012-01-01,2018-12-31,2557,Columbia SC,68
2012-01-01,2018-12-31,2557,Columbus OH,61
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,72
2012-01-01,2018-12-31,2557,Dayton OH,53
2012-01-01,2018-12-31,2557,Denver CO,69
2012-01-01,2018-12-31,2557,Des Moines-Ames IA,51
2012-01-01,2018-12-31,2557,Detroit MI,61
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,100
2012-01-01,2018-12-31,2557,Grand Rapids-Kalamazoo-Battle Creek MI,57
2012-01-01,2018-12-31,2557,Greensboro-High Point-Winston Salem NC,57
2012-01-01,2018-12-31,2557,Greenville-Spartanburg SC-Asheville NC-Anderson SC,59
2012-01-01,2018-12-31,2557,Harlingen-Weslaco-Brownsville-McAllen TX,73
2012-01-01,2018-12-31,2557,Harrisburg-Lancaster-Lebanon-York PA,49
2012-01-01,2018-12-31,2557,Hartford & New Haven CT,54
2012-01-01,2018-12-31,2557,Honolulu HI,70
2012-01-01,2018-12-31,2557,Houston TX,80
2012-01-01,2018-12-31,2557,Indianapolis IN,69
2012-01-01,2018-12-31,2557,Jacksonville FL,69
2012-01-01,2018-12-31,2557,Kansas City MO,70
2012-01-01,2018-12-31,2557,Knoxville TN,66
2012-01-01,2018-12-31,2557,Las Vegas NV,97
2012-01-01,2018-12-31,2557,Lexington KY,65
2012-01-01,2018-12-31,2557,Little Rock-Pine Bluff AR,79
2012-01-01,2018-12-31,2557,Los Angeles CA,85
2012-01-01,2018-12-31,2557,Louisville KY,63
2012-01-01,2018-12-31,2557,Memphis TN,76
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,76
2012-01-01,2018-12-31,2557,Milwaukee WI,53
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,56
2012-01-01,2018-12-31,2557,Mobile AL-Pensacola (Ft. Walton Beach) FL,72
2012-01-01,2018-12-31,2557,Nashville TN,61
2012-01-01,2018-12-31,2557,New Orleans LA,76
2012-01-01,2018-12-31,2557,New York NY,59
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,60
2012-01-01,2018-12-31,2557,Oklahoma City OK,75
2012-01-01,2018-12-31,2557,Omaha NE,61
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,72
2012-01-01,2018-12-31,2557,Philadelphia PA,61
2012-01-01,2018-12-31,2557,Phoenix AZ,83
2012-01-01,2018-12-31,2557,Pittsburgh PA,50
2012-01-01,2018-12-31,2557,Portland OR,59
2012-01-01,2018-12-31,2557,Providence RI-New Bedford MA,59
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,60
2012-01-01,2018-12-31,2557,Richmond-Petersburg VA,58
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,95
2012-01-01,2018-12-31,2557,Salt Lake City UT,68
2012-01-01,2018-12-31,2557,San Antonio TX,85
2012-01-01,2018-12-31,2557,San Diego CA,78
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,76
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,78
2012-01-01,2018-12-31,2557,Spokane WA,74
2012-01-01,2018-12-31,2557,Springfield MO,70
2012-01-01,2018-12-31,2557,St. Louis MO,67
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,66
2012-01-01,2018-12-31,2557,Tucson (Sierra Vista) AZ,80
2012-01-01,2018-12-31,2557,Tulsa OK,66
2012-01-01,2018-12-31,2557,Waco-Temple-Bryan TX,70
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),55
2012-01-01,2018-12-31,2557,West Palm Beach-Ft. Pierce FL,66
2012-01-01,2018-12-31,2557,Wichita-Hutchinson KS,70
