DateStart,DateEnd,Interval Days,GeoName,Keyword1_my * stolen+burglary-car-turck-bus
2012-01-01,2018-12-31,2557,Albany-Schenectady-Troy NY,54
2012-01-01,2018-12-31,2557,Albuquerque-Santa Fe NM,86
2012-01-01,2018-12-31,2557,Atlanta GA,69
2012-01-01,2018-12-31,2557,Austin TX,64
2012-01-01,2018-12-31,2557,Baltimore MD,61
2012-01-01,2018-12-31,2557,Birmingham AL,64
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,52
2012-01-01,2018-12-31,2557,Buffalo NY,50
2012-01-01,2018-12-31,2557,Champaign & Springfield-Decatur IL,64
2012-01-01,2018-12-31,2557,Charlotte NC,61
2012-01-01,2018-12-31,2557,Chicago IL,63
2012-01-01,2018-12-31,2557,Cincinnati OH,61
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,59
2012-01-01,2018-12-31,2557,Colorado Springs-Pueblo CO,82
2012-01-01,2018-12-31,2557,Columbia SC,70
2012-01-01,2018-12-31,2557,Columbus OH,60
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,72
2012-01-01,2018-12-31,2557,Dayton OH,53
2012-01-01,2018-12-31,2557,Denver CO,68
2012-01-01,2018-12-31,2557,Des Moines-Ames IA,50
2012-01-01,2018-12-31,2557,Detroit MI,59
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,99
2012-01-01,2018-12-31,2557,Grand Rapids-Kalamazoo-Battle Creek MI,56
2012-01-01,2018-12-31,2557,Greensboro-High Point-Winston Salem NC,57
2012-01-01,2018-12-31,2557,Greenville-Spartanburg SC-Asheville NC-Anderson SC,63
2012-01-01,2018-12-31,2557,Harlingen-Weslaco-Brownsville-McAllen TX,71
2012-01-01,2018-12-31,2557,Harrisburg-Lancaster-Lebanon-York PA,50
2012-01-01,2018-12-31,2557,Hartford & New Haven CT,57
2012-01-01,2018-12-31,2557,Honolulu HI,68
2012-01-01,2018-12-31,2557,Houston TX,78
2012-01-01,2018-12-31,2557,Indianapolis IN,68
2012-01-01,2018-12-31,2557,Jacksonville FL,65
2012-01-01,2018-12-31,2557,Kansas City MO,72
2012-01-01,2018-12-31,2557,Knoxville TN,63
2012-01-01,2018-12-31,2557,Las Vegas NV,100
2012-01-01,2018-12-31,2557,Lexington KY,67
2012-01-01,2018-12-31,2557,Little Rock-Pine Bluff AR,77
2012-01-01,2018-12-31,2557,Los Angeles CA,85
2012-01-01,2018-12-31,2557,Louisville KY,60
2012-01-01,2018-12-31,2557,Memphis TN,74
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,75
2012-01-01,2018-12-31,2557,Milwaukee WI,51
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,57
2012-01-01,2018-12-31,2557,Mobile AL-Pensacola (Ft. Walton Beach) FL,73
2012-01-01,2018-12-31,2557,Nashville TN,59
2012-01-01,2018-12-31,2557,New Orleans LA,75
2012-01-01,2018-12-31,2557,New York NY,60
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,61
2012-01-01,2018-12-31,2557,Oklahoma City OK,78
2012-01-01,2018-12-31,2557,Omaha NE,61
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,71
2012-01-01,2018-12-31,2557,Philadelphia PA,61
2012-01-01,2018-12-31,2557,Phoenix AZ,80
2012-01-01,2018-12-31,2557,Pittsburgh PA,47
2012-01-01,2018-12-31,2557,Portland OR,56
2012-01-01,2018-12-31,2557,Providence RI-New Bedford MA,58
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,57
2012-01-01,2018-12-31,2557,Richmond-Petersburg VA,61
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,91
2012-01-01,2018-12-31,2557,Salt Lake City UT,68
2012-01-01,2018-12-31,2557,San Antonio TX,85
2012-01-01,2018-12-31,2557,San Diego CA,78
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,75
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,79
2012-01-01,2018-12-31,2557,Spokane WA,74
2012-01-01,2018-12-31,2557,Springfield MO,69
2012-01-01,2018-12-31,2557,St. Louis MO,64
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,65
2012-01-01,2018-12-31,2557,Tucson (Sierra Vista) AZ,78
2012-01-01,2018-12-31,2557,Tulsa OK,66
2012-01-01,2018-12-31,2557,Waco-Temple-Bryan TX,70
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),54
2012-01-01,2018-12-31,2557,West Palm Beach-Ft. Pierce FL,67
2012-01-01,2018-12-31,2557,Wichita-Hutchinson KS,72
