DateStart,DateEnd,Interval Days,GeoName,Keyword1_my car * stolen+bus stolen+truck stolen+report * stolen car+find stolen car
2012-01-01,2018-12-31,2557,Atlanta GA,62
2012-01-01,2018-12-31,2557,Austin TX,56
2012-01-01,2018-12-31,2557,Baltimore MD,47
2012-01-01,2018-12-31,2557,"Billings, MT",33
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,33
2012-01-01,2018-12-31,2557,Charlotte NC,51
2012-01-01,2018-12-31,2557,Chicago IL,51
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,37
2012-01-01,2018-12-31,2557,Columbus OH,45
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,72
2012-01-01,2018-12-31,2557,Denver CO,57
2012-01-01,2018-12-31,2557,Detroit MI,53
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,82
2012-01-01,2018-12-31,2557,Houston TX,84
2012-01-01,2018-12-31,2557,Indianapolis IN,56
2012-01-01,2018-12-31,2557,Kansas City MO,76
2012-01-01,2018-12-31,2557,Las Vegas NV,98
2012-01-01,2018-12-31,2557,Los Angeles CA,78
2012-01-01,2018-12-31,2557,Louisville KY,58
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,60
2012-01-01,2018-12-31,2557,Milwaukee WI,51
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,41
2012-01-01,2018-12-31,2557,Nashville TN,54
2012-01-01,2018-12-31,2557,New York NY,39
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,43
2012-01-01,2018-12-31,2557,Oklahoma City OK,67
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,50
2012-01-01,2018-12-31,2557,Philadelphia PA,42
2012-01-01,2018-12-31,2557,Phoenix AZ,66
2012-01-01,2018-12-31,2557,Portland OR,57
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,41
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,100
2012-01-01,2018-12-31,2557,Salt Lake City UT,45
2012-01-01,2018-12-31,2557,San Antonio TX,68
2012-01-01,2018-12-31,2557,San Diego CA,75
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,71
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,81
2012-01-01,2018-12-31,2557,Springfield MO,85
2012-01-01,2018-12-31,2557,St. Louis MO,66
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,51
2012-01-01,2018-12-31,2557,Tulsa OK,95
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),38
