DateStart,DateEnd,Interval Days,GeoName,Keyword1_my car * stolen+bus stolen+truck stolen+report * stolen car+find stolen car
2012-01-01,2018-12-31,2557,Atlanta GA,58
2012-01-01,2018-12-31,2557,Austin TX,56
2012-01-01,2018-12-31,2557,Baltimore MD,49
2012-01-01,2018-12-31,2557,"Billings, MT",28
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,30
2012-01-01,2018-12-31,2557,Charlotte NC,49
2012-01-01,2018-12-31,2557,Chicago IL,50
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,41
2012-01-01,2018-12-31,2557,Columbus OH,44
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,68
2012-01-01,2018-12-31,2557,Denver CO,63
2012-01-01,2018-12-31,2557,Detroit MI,55
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,89
2012-01-01,2018-12-31,2557,Houston TX,78
2012-01-01,2018-12-31,2557,Indianapolis IN,50
2012-01-01,2018-12-31,2557,Kansas City MO,67
2012-01-01,2018-12-31,2557,Las Vegas NV,87
2012-01-01,2018-12-31,2557,Los Angeles CA,75
2012-01-01,2018-12-31,2557,Louisville KY,60
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,54
2012-01-01,2018-12-31,2557,Milwaukee WI,54
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,43
2012-01-01,2018-12-31,2557,Nashville TN,44
2012-01-01,2018-12-31,2557,New York NY,38
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,47
2012-01-01,2018-12-31,2557,Oklahoma City OK,64
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,51
2012-01-01,2018-12-31,2557,Philadelphia PA,41
2012-01-01,2018-12-31,2557,Phoenix AZ,64
2012-01-01,2018-12-31,2557,Portland OR,55
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,43
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,100
2012-01-01,2018-12-31,2557,Salt Lake City UT,46
2012-01-01,2018-12-31,2557,San Antonio TX,86
2012-01-01,2018-12-31,2557,San Diego CA,70
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,75
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,76
2012-01-01,2018-12-31,2557,Springfield MO,73
2012-01-01,2018-12-31,2557,St. Louis MO,57
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,50
2012-01-01,2018-12-31,2557,Tulsa OK,82
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),40
