DateStart,DateEnd,Interval Days,GeoName,Keyword1_my car * stolen+bus stolen+truck stolen+report * stolen car+find stolen car
2012-01-01,2018-12-31,2557,Atlanta GA,54
2012-01-01,2018-12-31,2557,Austin TX,57
2012-01-01,2018-12-31,2557,Baltimore MD,43
2012-01-01,2018-12-31,2557,"Billings, MT",20
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,28
2012-01-01,2018-12-31,2557,Charlotte NC,46
2012-01-01,2018-12-31,2557,Chicago IL,45
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,35
2012-01-01,2018-12-31,2557,Columbus OH,39
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,64
2012-01-01,2018-12-31,2557,Denver CO,58
2012-01-01,2018-12-31,2557,Detroit MI,49
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,100
2012-01-01,2018-12-31,2557,Houston TX,79
2012-01-01,2018-12-31,2557,Indianapolis IN,49
2012-01-01,2018-12-31,2557,Kansas City MO,62
2012-01-01,2018-12-31,2557,Las Vegas NV,85
2012-01-01,2018-12-31,2557,Los Angeles CA,72
2012-01-01,2018-12-31,2557,Louisville KY,56
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,52
2012-01-01,2018-12-31,2557,Milwaukee WI,46
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,40
2012-01-01,2018-12-31,2557,Nashville TN,44
2012-01-01,2018-12-31,2557,New York NY,36
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,46
2012-01-01,2018-12-31,2557,Oklahoma City OK,65
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,48
2012-01-01,2018-12-31,2557,Philadelphia PA,38
2012-01-01,2018-12-31,2557,Phoenix AZ,61
2012-01-01,2018-12-31,2557,Portland OR,50
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,36
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,93
2012-01-01,2018-12-31,2557,Salt Lake City UT,45
2012-01-01,2018-12-31,2557,San Antonio TX,69
2012-01-01,2018-12-31,2557,San Diego CA,70
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,67
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,70
2012-01-01,2018-12-31,2557,Springfield MO,74
2012-01-01,2018-12-31,2557,St. Louis MO,54
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,47
2012-01-01,2018-12-31,2557,Tulsa OK,72
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),35
