DateStart,DateEnd,Interval Days,GeoName,Keyword1_my car * stolen+bus stolen+truck stolen+report * stolen car+find stolen car
2012-01-01,2018-12-31,2557,Atlanta GA,65
2012-01-01,2018-12-31,2557,Austin TX,59
2012-01-01,2018-12-31,2557,Baltimore MD,50
2012-01-01,2018-12-31,2557,"Billings, MT",23
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,32
2012-01-01,2018-12-31,2557,Charlotte NC,50
2012-01-01,2018-12-31,2557,Chicago IL,51
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,41
2012-01-01,2018-12-31,2557,Columbus OH,45
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,69
2012-01-01,2018-12-31,2557,Denver CO,59
2012-01-01,2018-12-31,2557,Detroit MI,54
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,84
2012-01-01,2018-12-31,2557,Houston TX,85
2012-01-01,2018-12-31,2557,Indianapolis IN,51
2012-01-01,2018-12-31,2557,Kansas City MO,73
2012-01-01,2018-12-31,2557,Las Vegas NV,99
2012-01-01,2018-12-31,2557,Los Angeles CA,80
2012-01-01,2018-12-31,2557,Louisville KY,70
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,56
2012-01-01,2018-12-31,2557,Milwaukee WI,52
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,43
2012-01-01,2018-12-31,2557,Nashville TN,51
2012-01-01,2018-12-31,2557,New York NY,39
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,53
2012-01-01,2018-12-31,2557,Oklahoma City OK,65
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,52
2012-01-01,2018-12-31,2557,Philadelphia PA,43
2012-01-01,2018-12-31,2557,Phoenix AZ,66
2012-01-01,2018-12-31,2557,Portland OR,62
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,39
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,100
2012-01-01,2018-12-31,2557,Salt Lake City UT,50
2012-01-01,2018-12-31,2557,San Antonio TX,75
2012-01-01,2018-12-31,2557,San Diego CA,82
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,75
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,82
2012-01-01,2018-12-31,2557,Springfield MO,61
2012-01-01,2018-12-31,2557,St. Louis MO,49
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,56
2012-01-01,2018-12-31,2557,Tulsa OK,91
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),37
