DateStart,DateEnd,Interval Days,GeoName,Keyword1_my car * stolen+bus stolen+truck stolen+report * stolen car+find stolen car
2012-01-01,2018-12-31,2557,Atlanta GA,64
2012-01-01,2018-12-31,2557,Austin TX,56
2012-01-01,2018-12-31,2557,Baltimore MD,51
2012-01-01,2018-12-31,2557,"Billings, MT",35
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,31
2012-01-01,2018-12-31,2557,Charlotte NC,48
2012-01-01,2018-12-31,2557,Chicago IL,52
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,46
2012-01-01,2018-12-31,2557,Columbus OH,45
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,76
2012-01-01,2018-12-31,2557,Denver CO,59
2012-01-01,2018-12-31,2557,Detroit MI,58
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,89
2012-01-01,2018-12-31,2557,Houston TX,84
2012-01-01,2018-12-31,2557,Indianapolis IN,56
2012-01-01,2018-12-31,2557,Kansas City MO,77
2012-01-01,2018-12-31,2557,Las Vegas NV,100
2012-01-01,2018-12-31,2557,Los Angeles CA,82
2012-01-01,2018-12-31,2557,Louisville KY,66
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,59
2012-01-01,2018-12-31,2557,Milwaukee WI,57
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,44
2012-01-01,2018-12-31,2557,Nashville TN,51
2012-01-01,2018-12-31,2557,New York NY,41
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,49
2012-01-01,2018-12-31,2557,Oklahoma City OK,67
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,47
2012-01-01,2018-12-31,2557,Philadelphia PA,49
2012-01-01,2018-12-31,2557,Phoenix AZ,69
2012-01-01,2018-12-31,2557,Portland OR,60
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,38
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,100
2012-01-01,2018-12-31,2557,Salt Lake City UT,46
2012-01-01,2018-12-31,2557,San Antonio TX,68
2012-01-01,2018-12-31,2557,San Diego CA,83
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,75
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,79
2012-01-01,2018-12-31,2557,Springfield MO,70
2012-01-01,2018-12-31,2557,St. Louis MO,63
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,51
2012-01-01,2018-12-31,2557,Tulsa OK,98
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),42
