DateStart,DateEnd,Interval Days,GeoName,Keyword1_my car * stolen+bus stolen+truck stolen+report * stolen car+find stolen car
2012-01-01,2018-12-31,2557,Atlanta GA,62
2012-01-01,2018-12-31,2557,Austin TX,54
2012-01-01,2018-12-31,2557,Baltimore MD,55
2012-01-01,2018-12-31,2557,"Billings, MT",41
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,29
2012-01-01,2018-12-31,2557,Charlotte NC,52
2012-01-01,2018-12-31,2557,Chicago IL,52
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,43
2012-01-01,2018-12-31,2557,Columbus OH,54
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,72
2012-01-01,2018-12-31,2557,Denver CO,61
2012-01-01,2018-12-31,2557,Detroit MI,60
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,73
2012-01-01,2018-12-31,2557,Houston TX,81
2012-01-01,2018-12-31,2557,Indianapolis IN,50
2012-01-01,2018-12-31,2557,Kansas City MO,76
2012-01-01,2018-12-31,2557,Las Vegas NV,95
2012-01-01,2018-12-31,2557,Los Angeles CA,79
2012-01-01,2018-12-31,2557,Louisville KY,61
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,56
2012-01-01,2018-12-31,2557,Milwaukee WI,50
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,43
2012-01-01,2018-12-31,2557,Nashville TN,43
2012-01-01,2018-12-31,2557,New York NY,41
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,45
2012-01-01,2018-12-31,2557,Oklahoma City OK,72
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,56
2012-01-01,2018-12-31,2557,Philadelphia PA,45
2012-01-01,2018-12-31,2557,Phoenix AZ,71
2012-01-01,2018-12-31,2557,Portland OR,58
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,48
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,100
2012-01-01,2018-12-31,2557,Salt Lake City UT,49
2012-01-01,2018-12-31,2557,San Antonio TX,85
2012-01-01,2018-12-31,2557,San Diego CA,76
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,80
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,82
2012-01-01,2018-12-31,2557,Springfield MO,74
2012-01-01,2018-12-31,2557,St. Louis MO,51
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,56
2012-01-01,2018-12-31,2557,Tulsa OK,79
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),41
