DateStart,DateEnd,Interval Days,GeoName,Keyword1_I * raped+someone raped me+rape report police+my * raped me+being raped+been raped
2012-01-01,2018-12-31,2557,Albuquerque-Santa Fe NM,75
2012-01-01,2018-12-31,2557,Atlanta GA,82
2012-01-01,2018-12-31,2557,Austin TX,63
2012-01-01,2018-12-31,2557,Baltimore MD,74
2012-01-01,2018-12-31,2557,Birmingham AL,88
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,66
2012-01-01,2018-12-31,2557,Buffalo NY,87
2012-01-01,2018-12-31,2557,Charlotte NC,86
2012-01-01,2018-12-31,2557,Chicago IL,75
2012-01-01,2018-12-31,2557,Cincinnati OH,75
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,83
2012-01-01,2018-12-31,2557,Columbus OH,87
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,76
2012-01-01,2018-12-31,2557,Denver CO,64
2012-01-01,2018-12-31,2557,Detroit MI,84
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,93
2012-01-01,2018-12-31,2557,Grand Rapids-Kalamazoo-Battle Creek MI,93
2012-01-01,2018-12-31,2557,Greensboro-High Point-Winston Salem NC,87
2012-01-01,2018-12-31,2557,Greenville-Spartanburg SC-Asheville NC-Anderson SC,87
2012-01-01,2018-12-31,2557,Harrisburg-Lancaster-Lebanon-York PA,88
2012-01-01,2018-12-31,2557,Hartford & New Haven CT,66
2012-01-01,2018-12-31,2557,Honolulu HI,49
2012-01-01,2018-12-31,2557,Houston TX,77
2012-01-01,2018-12-31,2557,Indianapolis IN,83
2012-01-01,2018-12-31,2557,Jacksonville FL,85
2012-01-01,2018-12-31,2557,Kansas City MO,84
2012-01-01,2018-12-31,2557,Las Vegas NV,78
2012-01-01,2018-12-31,2557,Little Rock-Pine Bluff AR,100
2012-01-01,2018-12-31,2557,Los Angeles CA,71
2012-01-01,2018-12-31,2557,Louisville KY,96
2012-01-01,2018-12-31,2557,Memphis TN,97
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,65
2012-01-01,2018-12-31,2557,Milwaukee WI,61
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,68
2012-01-01,2018-12-31,2557,Mobile AL-Pensacola (Ft. Walton Beach) FL,89
2012-01-01,2018-12-31,2557,Nashville TN,92
2012-01-01,2018-12-31,2557,New Orleans LA,83
2012-01-01,2018-12-31,2557,New York NY,68
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,90
2012-01-01,2018-12-31,2557,Oklahoma City OK,84
2012-01-01,2018-12-31,2557,Omaha NE,80
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,73
2012-01-01,2018-12-31,2557,Philadelphia PA,79
2012-01-01,2018-12-31,2557,Phoenix AZ,73
2012-01-01,2018-12-31,2557,Pittsburgh PA,82
2012-01-01,2018-12-31,2557,Portland OR,61
2012-01-01,2018-12-31,2557,Providence RI-New Bedford MA,84
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,75
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,79
2012-01-01,2018-12-31,2557,Salt Lake City UT,67
2012-01-01,2018-12-31,2557,San Antonio TX,96
2012-01-01,2018-12-31,2557,San Diego CA,61
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,55
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,67
2012-01-01,2018-12-31,2557,Springfield MO,98
2012-01-01,2018-12-31,2557,St. Louis MO,89
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,75
2012-01-01,2018-12-31,2557,Tulsa OK,87
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),72
2012-01-01,2018-12-31,2557,West Palm Beach-Ft. Pierce FL,73
