DateStart,DateEnd,Interval Days,GeoName,Keyword1_I * raped+someone raped me+rape report police+my * raped me+being raped+been raped
2012-01-01,2018-12-31,2557,Albuquerque-Santa Fe NM,73
2012-01-01,2018-12-31,2557,Atlanta GA,80
2012-01-01,2018-12-31,2557,Austin TX,60
2012-01-01,2018-12-31,2557,Baltimore MD,73
2012-01-01,2018-12-31,2557,Birmingham AL,86
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,63
2012-01-01,2018-12-31,2557,Buffalo NY,81
2012-01-01,2018-12-31,2557,Charlotte NC,84
2012-01-01,2018-12-31,2557,Chicago IL,71
2012-01-01,2018-12-31,2557,Cincinnati OH,78
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,76
2012-01-01,2018-12-31,2557,Columbus OH,83
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,75
2012-01-01,2018-12-31,2557,Denver CO,63
2012-01-01,2018-12-31,2557,Detroit MI,84
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,96
2012-01-01,2018-12-31,2557,Grand Rapids-Kalamazoo-Battle Creek MI,91
2012-01-01,2018-12-31,2557,Greensboro-High Point-Winston Salem NC,83
2012-01-01,2018-12-31,2557,Greenville-Spartanburg SC-Asheville NC-Anderson SC,84
2012-01-01,2018-12-31,2557,Harrisburg-Lancaster-Lebanon-York PA,88
2012-01-01,2018-12-31,2557,Hartford & New Haven CT,68
2012-01-01,2018-12-31,2557,Honolulu HI,44
2012-01-01,2018-12-31,2557,Houston TX,74
2012-01-01,2018-12-31,2557,Indianapolis IN,82
2012-01-01,2018-12-31,2557,Jacksonville FL,82
2012-01-01,2018-12-31,2557,Kansas City MO,86
2012-01-01,2018-12-31,2557,Las Vegas NV,73
2012-01-01,2018-12-31,2557,Little Rock-Pine Bluff AR,100
2012-01-01,2018-12-31,2557,Los Angeles CA,71
2012-01-01,2018-12-31,2557,Louisville KY,92
2012-01-01,2018-12-31,2557,Memphis TN,93
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,61
2012-01-01,2018-12-31,2557,Milwaukee WI,59
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,66
2012-01-01,2018-12-31,2557,Mobile AL-Pensacola (Ft. Walton Beach) FL,83
2012-01-01,2018-12-31,2557,Nashville TN,90
2012-01-01,2018-12-31,2557,New Orleans LA,86
2012-01-01,2018-12-31,2557,New York NY,66
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,90
2012-01-01,2018-12-31,2557,Oklahoma City OK,86
2012-01-01,2018-12-31,2557,Omaha NE,76
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,74
2012-01-01,2018-12-31,2557,Philadelphia PA,78
2012-01-01,2018-12-31,2557,Phoenix AZ,70
2012-01-01,2018-12-31,2557,Pittsburgh PA,82
2012-01-01,2018-12-31,2557,Portland OR,58
2012-01-01,2018-12-31,2557,Providence RI-New Bedford MA,83
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,73
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,79
2012-01-01,2018-12-31,2557,Salt Lake City UT,65
2012-01-01,2018-12-31,2557,San Antonio TX,95
2012-01-01,2018-12-31,2557,San Diego CA,57
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,51
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,65
2012-01-01,2018-12-31,2557,Springfield MO,91
2012-01-01,2018-12-31,2557,St. Louis MO,91
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,74
2012-01-01,2018-12-31,2557,Tulsa OK,80
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),71
2012-01-01,2018-12-31,2557,West Palm Beach-Ft. Pierce FL,74
