DateStart,DateEnd,Interval Days,GeoName,Keyword1_I * raped+someone raped me+rape report police+my * raped me+being raped+been raped
2012-01-01,2018-12-31,2557,Albuquerque-Santa Fe NM,76
2012-01-01,2018-12-31,2557,Atlanta GA,80
2012-01-01,2018-12-31,2557,Austin TX,53
2012-01-01,2018-12-31,2557,Baltimore MD,77
2012-01-01,2018-12-31,2557,Birmingham AL,84
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,62
2012-01-01,2018-12-31,2557,Buffalo NY,86
2012-01-01,2018-12-31,2557,Charlotte NC,82
2012-01-01,2018-12-31,2557,Chicago IL,70
2012-01-01,2018-12-31,2557,Cincinnati OH,77
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,83
2012-01-01,2018-12-31,2557,Columbia SC,78
2012-01-01,2018-12-31,2557,Columbus OH,80
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,77
2012-01-01,2018-12-31,2557,Denver CO,61
2012-01-01,2018-12-31,2557,Detroit MI,85
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,77
2012-01-01,2018-12-31,2557,Grand Rapids-Kalamazoo-Battle Creek MI,85
2012-01-01,2018-12-31,2557,Greensboro-High Point-Winston Salem NC,77
2012-01-01,2018-12-31,2557,Greenville-Spartanburg SC-Asheville NC-Anderson SC,75
2012-01-01,2018-12-31,2557,Harrisburg-Lancaster-Lebanon-York PA,86
2012-01-01,2018-12-31,2557,Hartford & New Haven CT,61
2012-01-01,2018-12-31,2557,Honolulu HI,55
2012-01-01,2018-12-31,2557,Houston TX,74
2012-01-01,2018-12-31,2557,Indianapolis IN,82
2012-01-01,2018-12-31,2557,Jacksonville FL,78
2012-01-01,2018-12-31,2557,Kansas City MO,79
2012-01-01,2018-12-31,2557,Knoxville TN,84
2012-01-01,2018-12-31,2557,Las Vegas NV,73
2012-01-01,2018-12-31,2557,Little Rock-Pine Bluff AR,98
2012-01-01,2018-12-31,2557,Los Angeles CA,68
2012-01-01,2018-12-31,2557,Louisville KY,92
2012-01-01,2018-12-31,2557,Memphis TN,97
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,59
2012-01-01,2018-12-31,2557,Milwaukee WI,62
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,65
2012-01-01,2018-12-31,2557,Mobile AL-Pensacola (Ft. Walton Beach) FL,85
2012-01-01,2018-12-31,2557,Nashville TN,89
2012-01-01,2018-12-31,2557,New Orleans LA,84
2012-01-01,2018-12-31,2557,New York NY,64
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,94
2012-01-01,2018-12-31,2557,Oklahoma City OK,89
2012-01-01,2018-12-31,2557,Omaha NE,76
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,75
2012-01-01,2018-12-31,2557,Philadelphia PA,76
2012-01-01,2018-12-31,2557,Phoenix AZ,68
2012-01-01,2018-12-31,2557,Pittsburgh PA,78
2012-01-01,2018-12-31,2557,Portland OR,59
2012-01-01,2018-12-31,2557,Providence RI-New Bedford MA,73
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,76
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,76
2012-01-01,2018-12-31,2557,Salt Lake City UT,59
2012-01-01,2018-12-31,2557,San Antonio TX,86
2012-01-01,2018-12-31,2557,San Diego CA,60
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,53
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,66
2012-01-01,2018-12-31,2557,Springfield MO,100
2012-01-01,2018-12-31,2557,St. Louis MO,87
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,71
2012-01-01,2018-12-31,2557,Tulsa OK,83
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),70
2012-01-01,2018-12-31,2557,West Palm Beach-Ft. Pierce FL,75
