DateStart,DateEnd,Interval Days,GeoName,Keyword1_I * raped+someone raped me+rape report police+my * raped me+being raped+been raped
2012-01-01,2018-12-31,2557,Albuquerque-Santa Fe NM,68
2012-01-01,2018-12-31,2557,Atlanta GA,74
2012-01-01,2018-12-31,2557,Austin TX,57
2012-01-01,2018-12-31,2557,Baltimore MD,68
2012-01-01,2018-12-31,2557,Birmingham AL,81
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,58
2012-01-01,2018-12-31,2557,Buffalo NY,86
2012-01-01,2018-12-31,2557,Charlotte NC,76
2012-01-01,2018-12-31,2557,Chicago IL,67
2012-01-01,2018-12-31,2557,Cincinnati OH,75
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,72
2012-01-01,2018-12-31,2557,Columbus OH,79
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,77
2012-01-01,2018-12-31,2557,Denver CO,57
2012-01-01,2018-12-31,2557,Detroit MI,78
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,79
2012-01-01,2018-12-31,2557,Grand Rapids-Kalamazoo-Battle Creek MI,75
2012-01-01,2018-12-31,2557,Greensboro-High Point-Winston Salem NC,74
2012-01-01,2018-12-31,2557,Greenville-Spartanburg SC-Asheville NC-Anderson SC,71
2012-01-01,2018-12-31,2557,Harrisburg-Lancaster-Lebanon-York PA,66
2012-01-01,2018-12-31,2557,Hartford & New Haven CT,61
2012-01-01,2018-12-31,2557,Honolulu HI,55
2012-01-01,2018-12-31,2557,Houston TX,67
2012-01-01,2018-12-31,2557,Indianapolis IN,74
2012-01-01,2018-12-31,2557,Jacksonville FL,76
2012-01-01,2018-12-31,2557,Kansas City MO,68
2012-01-01,2018-12-31,2557,Las Vegas NV,70
2012-01-01,2018-12-31,2557,Little Rock-Pine Bluff AR,98
2012-01-01,2018-12-31,2557,Los Angeles CA,64
2012-01-01,2018-12-31,2557,Louisville KY,85
2012-01-01,2018-12-31,2557,Memphis TN,81
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,58
2012-01-01,2018-12-31,2557,Milwaukee WI,54
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,62
2012-01-01,2018-12-31,2557,Mobile AL-Pensacola (Ft. Walton Beach) FL,82
2012-01-01,2018-12-31,2557,Nashville TN,87
2012-01-01,2018-12-31,2557,New Orleans LA,80
2012-01-01,2018-12-31,2557,New York NY,61
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,82
2012-01-01,2018-12-31,2557,Oklahoma City OK,80
2012-01-01,2018-12-31,2557,Omaha NE,70
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,73
2012-01-01,2018-12-31,2557,Philadelphia PA,74
2012-01-01,2018-12-31,2557,Phoenix AZ,64
2012-01-01,2018-12-31,2557,Pittsburgh PA,74
2012-01-01,2018-12-31,2557,Portland OR,50
2012-01-01,2018-12-31,2557,Providence RI-New Bedford MA,73
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,70
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,66
2012-01-01,2018-12-31,2557,Salt Lake City UT,59
2012-01-01,2018-12-31,2557,San Antonio TX,80
2012-01-01,2018-12-31,2557,San Diego CA,51
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,50
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,66
2012-01-01,2018-12-31,2557,Springfield MO,100
2012-01-01,2018-12-31,2557,St. Louis MO,76
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,71
2012-01-01,2018-12-31,2557,Tulsa OK,71
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),62
2012-01-01,2018-12-31,2557,West Palm Beach-Ft. Pierce FL,65
